seat,agent,idxname
1,RNN_v2,01_RNN_v2
2,RNN_v2,02_RNN_v2
3,RNN_v2,03_RNN_v2
4,LSTM_v1,04_LSTM_v1
5,LSTM_v1,05_LSTM_v1
6,LSTM_v1,06_LSTM_v1
7,LSTM_v2,07_LSTM_v2
8,LSTM_v2,08_LSTM_v2
9,LSTM_v2,09_LSTM_v2
10,A3C_v1,10_A3C_v1
11,A3C_v1,11_A3C_v1
12,A3C_v1,12_A3C_v1
13,A3C_v2,13_A3C_v2
14,A3C_v2,14_A3C_v2
15,A3C_v2,15_A3C_v2
16,Tr_v1,16_Tr_v1
17,Tr_v1,17_Tr_v1
18,Tr_v1,18_Tr_v1
19,Tr_v2,19_Tr_v2
20,Tr_v2,20_Tr_v2
21,Tr_v2,21_Tr_v2
22,R,22_R
23,R,23_R
24,R,24_R
25,CG,25_CG
26,CG,26_CG
27,CG,27_CG
28,WL,28_WL
29,WL,29_WL
30,WL,30_WL
31,B_v1,31_B_v1
32,B_v1,32_B_v1
33,B_v1,33_B_v1
34,B_v2,34_B_v2
35,B_v2,35_B_v2
36,B_v2,36_B_v2
37,M_v1,37_M_v1
38,M_v1,38_M_v1
39,M_v1,39_M_v1
40,M_v2,40_M_v2
41,M_v2,41_M_v2
42,M_v2,42_M_v2
43,MSA_v2,43_MSA_v2
44,MSA_v2,44_MSA_v2
45,MSA_v2,45_MSA_v2
46,SVM,46_SVM
47,SVM,47_SVM
48,SVM,48_SVM
49,RF,49_RF
50,RF,50_RF
51,RF,51_RF
52,XGB,52_XGB
53,XGB,53_XGB
54,XGB,54_XGB
